fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,feature_set,feature_count
2,2021-03-01,elastic_net_macro_core_8,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.8276710561653164,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_ar_core_5,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.8363435648540678,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.836104054471788,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.8358656698112018,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.8354374395485352,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.8323856138187962,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.8307296830406834,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.8230902766851839,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.7501549655304413,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,1,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.742602001720334,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
2,2021-03-01,elastic_net_ar_core_5,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,ar_core_5,5
3,2022-03-01,elastic_net_full_23,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",1.8043705558750613,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",1.7735801648727954,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",1.7329050751000803,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",1.5923483988947937,12,2020-10-01,2021-09-01,62,5,0,full_23,23
