fold_id,model,method,feature,origins,mean_absolute_attribution,normalized_importance,mean_signed_attribution,attribution_positive_share,attribution_negative_share,attribution_zero_share,attribution_sign_consistency,mean_model_weight,weight_positive_share,weight_negative_share,weight_zero_share,weight_sign_consistency,rank
all,xgboost,tree_shap,tpm_change_3m_pp,46,0.01388329060295212,0.026419014431212147,-0.01161719784368356,0.5652173913043478,0.43478260869565216,0.0,0.5652173913043478,,,,,,13.0
all,xgboost,tree_shap,tpm_monthly_average,46,0.013150242960324724,0.025024071632476722,0.011931476524098442,0.5869565217391305,0.2826086956521739,0.13043478260869565,0.5869565217391305,,,,,,14.0
all,xgboost,tree_shap,real_m1_yoy_pct,46,0.01197189730674322,0.022781755187677513,0.011584992316467991,0.7608695652173914,0.21739130434782608,0.021739130434782608,0.7608695652173914,,,,,,15.0
all,xgboost,tree_shap,ipc_yoy,46,0.011032652042796026,0.020994431498191954,0.009772014012054095,0.6086956521739131,0.34782608695652173,0.043478260869565216,0.6086956521739131,,,,,,16.0
all,xgboost,tree_shap,usdclp_yoy_pct,46,0.010525396427787517,0.020029156492684715,0.003412584946288363,0.6521739130434783,0.34782608695652173,0.0,0.6521739130434783,,,,,,17.0
all,xgboost,tree_shap,npl90_change_3m_pp,46,0.008462263717418587,0.01610314684500418,0.000984239754356879,0.5,0.5,0.0,0.5,,,,,,18.0
all,xgboost,tree_shap,npl90_change_1m_pp,46,0.007530154708745059,0.014329402993069503,-0.0019161716105451849,0.4782608695652174,0.5217391304347826,0.0,0.5217391304347826,,,,,,19.0
all,xgboost,tree_shap,npl90_change_12m_pp,46,0.004710281505654363,0.008963364567654687,0.002078929959047262,0.6304347826086957,0.3695652173913043,0.0,0.6304347826086957,,,,,,20.0
all,xgboost,tree_shap,imacec_yoy_pct,46,0.004320182253571186,0.008221030630756538,0.003915270117273473,0.8478260869565217,0.13043478260869565,0.021739130434782608,0.8478260869565217,,,,,,21.0
all,xgboost,tree_shap,month_cos,46,0.0034205449187341046,0.006509078298154337,-0.00033568672227809895,0.4782608695652174,0.5217391304347826,0.0,0.5217391304347826,,,,,,22.0
all,xgboost,tree_shap,consumer_lending_rate_change_3m_pp,46,0.002591532721809294,0.004931521087794545,0.0007641809671717372,0.6304347826086957,0.2826086956521739,0.08695652173913043,0.6304347826086957,,,,,,23.0
