fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,scenario,horizon_months,training_scheme
2,2021-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.44923530161254205,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.4178664645419128,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.4178664645419128,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.8587944935844227,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.7850857633888673,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.7394087987691762,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.6122279044017119,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.46534340456634843,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.4044413649508043,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.3407753174298936,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.26584748502917405,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.26084572143330587,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.21434312382197138,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
3,2022-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.1351388319414847,12,2021-01-01,2021-12-01,58,2,1,h3_rolling,3,rolling
3,2022-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.1351388319414847,12,2021-01-01,2021-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.318768125238446,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.3014704135899907,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.27367675618911813,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.22439333137235676,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.22334353501693516,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.2644332231245244,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.2024795508523504,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.2238533411949297,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.2841488500921698,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.19309715223380639,12,2022-01-01,2022-12-01,58,2,1,h3_rolling,3,rolling
4,2023-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.378441446744358,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
4,2023-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.378441446744358,12,2022-01-01,2022-12-01,58,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.2101699318976916,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.21959071256086393,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.2228328060289485,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.21951881352711453,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.20431544437628502,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.1992113192938533,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.19585233491612267,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.19813158587067994,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.18841490749978926,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.19487662695032246,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
1,2020-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,1,h6_expanding,6,expanding
1,2020-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.8328793835280014,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.8186648700066547,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.7843934992719953,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.731536523672854,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.7807781307879567,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.8059160229815149,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.8389780797333507,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.8400178093565128,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,1,h6_expanding,6,expanding
2,2021-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.807047229134482,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
2,2021-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",1.8043705558750613,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",1.7735801648727954,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",1.7329050751000803,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",1.5923483988947937,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",1.2623033671227162,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
